Opinions				
Type	Last Point Mean	Last Point Standard Error	Mean Bootstrap CI Lower	Mean Bootstrap CI Higher
QDAIF	0.9985374808	0.0005162207838	0.9974913001	0.9995153069
LMX, NSAIF (w/ QAIF)	0.9885769963	0.001544675302	0.9852953792	0.9909406424
LMX, NSAIF	0.9849826932	0.001194853313	0.9827983022	0.9871670723
LMX, ROUGE-L (w/ QAIF)	0.992470932	0.0006108347634	0.991422534	0.9938138723
LMX, ROUGE-L	0.9795389771	0.005092140941	0.9695440412	0.989330852
LMX, Quality-Only	0.9942164302	0.001092286025	0.9920940042	0.9963388562
Random-Search	0.9862431169	0.002389801947	0.9812034726	0.9903588414
Shuffling-Few-Shot	0.9833328247	0.003052507615	0.9766180634	0.9883977294
Fixed-Few-Shot	0.9862491012	0.001341571874	0.9835828543	0.9892280698
				
Stories - Genre				
Type	Last Point Mean	Last Point Standard Error	Mean Bootstrap CI Lower	Mean Bootstrap CI Higher
QDAIF	0.9937818766	0.001004921957	0.9917994618	0.9957642913
LMX, NSAIF (w/ QAIF)	0.9877232552	0.001831374664	0.9843673468	0.9914560795
LMX, NSAIF	0.9890100479	0.002099066341	0.9849826574	0.9930374384
LMX, ROUGE-L (w/ QAIF)	0.9873463273	0.00162040092	0.9843673468	0.9903253078
LMX, ROUGE-L	0.9800108075	0.003379832603	0.9742199659	0.9867933631
LMX, Quality-Only	0.9935518861	0.0009244351972	0.9917994618	0.9953368664
Random-Search	0.983369112	0.001573368719	0.9798036218	0.9859363914
Shuffling-Few-Shot	0.9887461901	0.001098847855	0.9865517378	0.9909406424
Fixed-Few-Shot	0.9882642865	0.0009366804418	0.986551702	0.9899768591
				
Stories - Ending				
Type	Last Point Mean	Last Point Standard Error	Mean Bootstrap CI Lower	Mean Bootstrap CI Higher
QDAIF	0.9961733341	0.0007673422934	0.9950098753	0.9978102803
LMX, NSAIF (w/ QAIF)	0.9877232552	0.001831374664	0.9843673468	0.9914560795
LMX, NSAIF	0.987535882	0.001900195079	0.9841981411	0.9913197994
LMX, ROUGE-L (w/ QAIF)	0.9873463273	0.00162040092	0.9843673468	0.9903253078
LMX, ROUGE-L	0.9800108075	0.003379832603	0.9742199659	0.9867933631
LMX, Quality-Only	0.9935518861	0.0009244351972	0.9917994618	0.9953368664
Random-Search	0.983369112	0.001573368719	0.9798036218	0.9859363914
Shuffling-Few-Shot	0.9887461901	0.001098847855	0.9865517378	0.9909406424
Fixed-Few-Shot	0.9882642865	0.0009366804418	0.986551702	0.9899768591
				
Stories - Genre & Ending				
Type	Last Point Mean	Last Point Standard Error	Mean Bootstrap CI Lower	Mean Bootstrap CI Higher
QDAIF	0.9897384405	0.001114993676	0.9876489282	0.9918330073
LMX, NSAIF (w/ QAIF)	0.9857672095	0.0009941715822	0.9835828543	0.9877823949
LMX, NSAIF	0.9880258679	0.001295605668	0.9859363556	0.9909741879
LMX, ROUGE-L (w/ QAIF)	0.9873463273	0.00162040092	0.9843673468	0.9903253078
LMX, ROUGE-L	0.9800108075	0.003379832603	0.9742199659	0.9867933631
LMX, Quality-Only	0.9935518861	0.0009244351972	0.9917994618	0.9953368664
Random-Search	0.983369112	0.001573368719	0.9798036218	0.9859363914
Shuffling-Few-Shot	0.9887461901	0.001098847855	0.9865517378	0.9909406424
Fixed-Few-Shot	0.9882642865	0.0009366804418	0.986551702	0.9899768591
